	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	91	92.7667	-1.99E-01	-1.99E-01	0.00E+00	...........	
	92	93.775	-1.99E-01	-1.98E-01	0.00E+00	...........	
	93	94.7833	-1.99E-01	-1.98E-01	0.00E+00	...........	
	94	95.792	-1.99E-01	-1.98E-01	0.00E+00	...........	
	95	96.8	-1.98E-01	-1.98E-01	0.00E+00	...........	
	96	97.808	-1.98E-01	-1.98E-01	0.00E+00	...........	
	97	98.817	-1.98E-01	-1.98E-01	0.00E+00	...........	
	98	99.825	-1.98E-01	-1.98E-01	0.00E+00	...........	
	99	100.833	-1.98E-01	-1.98E-01	0.00E+00	...........	
	100	101.842	-1.98E-01	-1.98E-01	0.00E+00	...........	
	101	102.85	-1.98E-01	-1.98E-01	0.00E+00	...........	
	102	103.858	-1.98E-01	-1.98E-01	0.00E+00	...........	
	103	104.867	-1.98E-01	-1.98E-01	0.00E+00	...........	
	104	105.875	-1.98E-01	-1.98E-01	0.00E+00	...........	
	105	106.883	-1.98E-01	-1.98E-01	0.00E+00	...........	
	106	107.892	-1.98E-01	-1.97E-01	0.00E+00	...........	
	107	108.9	-1.98E-01	-1.97E-01	0.00E+00	...........	
	108	109.908	-1.98E-01	-1.97E-01	0.00E+00	...........	
	109	110.917	-1.97E-01	-1.97E-01	0.00E+00	...........	
	110	111.925	-1.97E-01	-1.97E-01	0.00E+00	...........	
	111	112.933	-1.97E-01	-1.97E-01	0.00E+00	...........	
	112	113.942	-1.97E-01	-1.97E-01	0.00E+00	...........	
	113	114.95	-1.97E-01	-1.97E-01	0.00E+00	...........	
	114	115.958	-1.97E-01	-1.97E-01	0.00E+00	...........	
	115	116.967	-1.97E-01	-1.97E-01	0.00E+00	...........	
	116	117.975	-1.97E-01	-1.97E-01	0.00E+00	...........	
	117	118.983	-1.97E-01	-1.97E-01	0.00E+00	...........	
	118	119.992	-1.97E-01	-1.97E-01	0.00E+00	...........	
	119	121	-1.97E-01	-1.97E-01	0.00E+00	...........	
	120	122.008	-1.97E-01	-1.97E-01	0.00E+00	...........	
	121	123.017	-1.97E-01	-1.97E-01	0.00E+00	...........	
	122	124.025	-1.97E-01	-1.97E-01	0.00E+00	...........	
	123	125.033	-1.97E-01	-1.96E-01	0.00E+00	...........	
	124	126.042	-1.97E-01	-1.96E-01	0.00E+00	...........	
	125	127.05	-1.97E-01	-1.96E-01	0.00E+00	...........	
	126	128.058	-1.96E-01	-1.96E-01	0.00E+00	...........	
	127	129.067	-1.96E-01	-1.96E-01	0.00E+00	...........	
	128	130.075	-1.96E-01	-1.96E-01	0.00E+00	...........	
	129	131.083	-1.96E-01	-1.96E-01	0.00E+00	...........	
	130	132.092	-1.96E-01	-1.96E-01	0.00E+00	...........	
	131	133.1	-1.96E-01	-1.96E-01	0.00E+00	...........	
	132	134.108	-1.96E-01	-1.96E-01	0.00E+00	...........	
	133	135.117	-1.96E-01	-1.96E-01	0.00E+00	...........	
	134	136.125	-1.96E-01	-1.96E-01	0.00E+00	...........	
	135	137.133	-1.96E-01	-1.96E-01	0.00E+00	...........	
	136	138.142	-1.96E-01	-1.96E-01	0.00E+00	...........	
	137	139.15	-1.96E-01	-1.96E-01	0.00E+00	...........	
	138	140.158	-1.96E-01	-1.96E-01	0.00E+00	...........	
	139	141.167	-1.96E-01	-1.96E-01	0.00E+00	...........	
	140	142.175	-1.96E-01	-1.96E-01	0.00E+00	...........	
	141	143.183	-1.96E-01	-1.95E-01	0.00E+00	...........	
	142	144.192	-1.96E-01	-1.95E-01	0.00E+00	...........	
	143	145.2	-1.96E-01	-1.95E-01	0.00E+00	...........	
	144	146.208	-1.95E-01	-1.95E-01	0.00E+00	...........	
	145	147.217	-1.95E-01	-1.95E-01	0.00E+00	...........	
	146	148.225	-1.95E-01	-1.95E-01	0.00E+00	...........	
	147	149.233	-1.95E-01	-1.95E-01	0.00E+00	...........	
	148	150.242	-1.95E-01	-1.95E-01	0.00E+00	...........	
	149	151.25	-1.95E-01	-1.95E-01	0.00E+00	...........	
	150	152.258	-1.95E-01	-1.95E-01	0.00E+00	...........	
	151	153.267	-1.95E-01	-1.95E-01	0.00E+00	...........	
	152	154.275	-1.95E-01	-1.95E-01	0.00E+00	...........	
	153	155.283	-1.95E-01	-1.95E-01	0.00E+00	...........	
	154	156.292	-1.95E-01	-1.95E-01	0.00E+00	...........	
	155	157.3	-1.95E-01	-1.95E-01	0.00E+00	...........	
	156	158.308	-1.95E-01	-1.95E-01	0.00E+00	...........	
