T,Vf
s,V vs. Ref.
1.00833,-2.1081E-01
2.01667,-2.1081E-01
3.025,-2.1081E-01
4.03333,-2.1079E-01
5.04167,-2.1077E-01
6.05,-2.1073E-01
7.05833,-2.1069E-01
8.06667,-2.1065E-01
9.075,-2.1060E-01
10.0833,-2.1056E-01
11.0917,-2.1051E-01
12.1,-2.1047E-01
13.1083,-2.1042E-01
14.1167,-2.1037E-01
15.125,-2.1033E-01
16.1333,-2.1028E-01
17.1417,-2.1024E-01
18.15,-2.1019E-01
19.1583,-2.1015E-01
20.1667,-2.1010E-01
21.175,-2.1006E-01
22.1833,-2.1001E-01
23.1917,-2.0996E-01
24.2,-2.0991E-01
25.2083,-2.0987E-01
26.2167,-2.0982E-01
27.225,-2.0977E-01
28.2333,-2.0972E-01
29.2417,-2.0967E-01
30.25,-2.0962E-01
31.2583,-2.0957E-01
32.2667,-2.0952E-01
33.275,-2.0948E-01
34.2833,-2.0943E-01
35.2917,-2.0938E-01
36.3,-2.0933E-01
37.3083,-2.0929E-01
38.3167,-2.0924E-01
39.325,-2.0919E-01
40.3333,-2.0914E-01
41.3417,-2.0909E-01
42.35,-2.0905E-01
43.3583,-2.0900E-01
44.3667,-2.0895E-01
45.375,-2.0890E-01
46.3833,-2.0885E-01
47.3917,-2.0881E-01
48.4,-2.0876E-01
49.4083,-2.0871E-01
50.4167,-2.0867E-01
51.425,-2.0862E-01
52.4333,-2.0857E-01
53.4417,-2.0853E-01
54.45,-2.0848E-01
55.4583,-2.0843E-01
56.4667,-2.0839E-01
57.475,-2.0834E-01
58.4833,-2.0829E-01
59.4917,-2.0824E-01
60.5,-2.0820E-01
61.5083,-2.0815E-01
62.5167,-2.0811E-01
63.525,-2.0806E-01
64.5333,-2.0801E-01
65.5417,-2.0797E-01
66.55,-2.0792E-01
67.5583,-2.0788E-01
68.5667,-2.0783E-01
69.575,-2.0779E-01
70.5833,-2.0774E-01
71.5917,-2.0769E-01
72.6,-2.0765E-01
73.6083,-2.0760E-01
74.6167,-2.0756E-01
75.625,-2.0751E-01
76.6333,-2.0747E-01
77.6417,-2.0742E-01
78.65,-2.0738E-01
79.6583,-2.0733E-01
80.6667,-2.0728E-01
81.675,-2.0724E-01
82.6833,-2.0719E-01
83.6917,-2.0715E-01
84.7,-2.0710E-01
85.7083,-2.0706E-01
86.7167,-2.0701E-01
87.725,-2.0697E-01
88.7333,-2.0692E-01
89.7417,-2.0688E-01
90.75,-2.0684E-01
91.7583,-2.0679E-01
92.7667,-2.0675E-01
93.775,-2.0671E-01
94.7833,-2.0667E-01
95.792,-2.0663E-01
96.8,-2.0659E-01
97.808,-2.0655E-01
98.817,-2.0650E-01
99.825,-2.0645E-01
100.833,-2.0641E-01
101.842,-2.0636E-01
102.85,-2.0631E-01
103.858,-2.0627E-01
104.867,-2.0622E-01
105.875,-2.0618E-01
106.883,-2.0613E-01
107.892,-2.0609E-01
108.9,-2.0604E-01
109.908,-2.0600E-01
110.917,-2.0595E-01
111.925,-2.0591E-01
112.933,-2.0587E-01
113.942,-2.0582E-01
114.95,-2.0578E-01
115.958,-2.0573E-01
116.967,-2.0569E-01
117.975,-2.0565E-01
118.983,-2.0560E-01
119.992,-2.0556E-01
121,-2.0551E-01
122.008,-2.0547E-01
123.017,-2.0542E-01
124.025,-2.0538E-01
125.033,-2.0534E-01
126.042,-2.0529E-01
127.05,-2.0525E-01
128.058,-2.0521E-01
129.067,-2.0517E-01
130.075,-2.0513E-01
131.083,-2.0509E-01
132.092,-2.0504E-01
133.1,-2.0500E-01
